Date,NAV,fund_name
2008-01-23,21.5,Birla
2008-01-22,20.47,Birla
2008-01-21,21.6,Birla
2008-01-18,23.14,Birla
2008-01-17,23.73,Birla
2008-01-16,23.65,Birla
2008-01-15,23.97,Birla
2008-01-14,24.23,Birla
2008-01-11,24.14,Birla
2008-01-10,24.22,Birla
2008-01-09,24.71,Birla
2008-01-08,24.87,Birla
2008-01-07,25.01,Birla
2008-01-04,24.86,Birla
2008-01-03,24.87,Birla
2008-01-02,25.01,Birla
2008-01-01,24.85,Birla
2007-12-31,24.55,Birla
2007-12-28,24.32,Birla
2007-12-27,24.19,Birla
2007-12-26,24.18,Birla
2007-12-24,23.88,Birla
2007-12-20,23.4,Birla
2007-12-19,23.45,Birla
2007-12-18,23.37,Birla
2007-12-17,23.3,Birla
2007-12-14,23.8,Birla
2007-12-13,23.67,Birla
2007-12-12,23.76,Birla
2007-12-11,23.55,Birla
2007-12-10,23.23,Birla
2007-12-07,23.2,Birla
2007-12-06,23.12,Birla
2007-12-05,22.96,Birla
2007-12-04,22.83,Birla
2007-12-03,22.68,Birla
2007-11-30,22.52,Birla
2007-11-29,22.3,Birla
2007-11-28,22.32,Birla
2007-11-27,22.51,Birla
2007-11-26,22.54,Birla
2007-11-23,22.26,Birla
2007-11-22,22.08,Birla
2007-11-21,22.25,Birla
2007-11-20,22.64,Birla
2007-11-19,22.76,Birla
2007-11-16,22.61,Birla
2007-11-15,22.45,Birla
2007-11-14,22.26,Birla
2007-11-13,21.92,Birla
2007-11-12,21.88,Birla
2007-11-08,21.99,Birla
2007-11-07,22.13,Birla
2007-11-06,22.22,Birla
2007-11-05,22.22,Birla
2007-11-02,22.35,Birla
2007-11-01,22.35,Birla
2007-10-31,22.55,Birla
2007-10-30,22.64,Birla
2007-10-29,22.88,Birla
2007-10-26,22.72,Birla
2007-10-25,22.58,Birla
2007-10-24,22.49,Birla
2007-10-23,22.39,Birla
2007-10-22,21.83,Birla
2007-10-19,21.72,Birla
2007-10-18,22.07,Birla
2007-10-17,22.26,Birla
2007-10-16,22.56,Birla
2007-10-15,22.77,Birla
2007-10-12,22.48,Birla
2007-10-11,22.63,Birla
2007-10-10,22.51,Birla
2007-10-09,22.34,Birla
2007-10-08,21.95,Birla
2007-10-05,22.33,Birla
2007-10-04,22.47,Birla
2007-10-03,22.48,Birla
2007-10-01,22.36,Birla
2007-09-28,22.2,Birla
2007-09-27,22.06,Birla
2007-09-26,22.07,Birla
2007-09-25,21.93,Birla
2007-09-24,22.03,Birla
2007-09-21,21.95,Birla
2007-09-20,21.76,Birla
2007-09-19,21.75,Birla
2007-09-18,21.28,Birla
2007-09-17,21.03,Birla
2007-09-14,21.01,Birla
2007-09-13,21.11,Birla
2007-09-12,20.93,Birla
2007-09-11,20.87,Birla
2007-09-10,20.85,Birla
2007-09-07,20.74,Birla
2007-09-06,20.72,Birla
2007-09-05,20.59,Birla
2007-09-04,20.61,Birla
2007-09-03,20.57,Birla
2007-08-31,20.46,Birla
2007-08-30,20.22,Birla
2007-08-29,20.08,Birla
2007-08-28,20.0,Birla
2007-08-27,19.98,Birla
2007-08-24,19.75,Birla
2007-08-23,19.59,Birla
2007-08-22,19.75,Birla
2007-08-21,19.5,Birla
2007-08-20,19.94,Birla
2007-08-17,19.66,Birla
2007-08-16,19.87,Birla
2007-08-14,20.29,Birla
2007-08-13,20.35,Birla
2007-08-10,20.2,Birla
2007-08-09,20.42,Birla
2007-08-08,20.61,Birla
2007-08-07,20.44,Birla
2007-08-06,20.38,Birla
2007-08-03,20.53,Birla
2007-08-02,20.42,Birla
2007-08-01,20.41,Birla
2007-07-31,20.89,Birla
2007-07-30,20.82,Birla
2007-07-27,20.77,Birla
2007-07-26,21.05,Birla
2007-07-25,21.02,Birla
2007-07-24,21.04,Birla
2007-07-23,21.13,Birla
2007-07-20,20.99,Birla
2007-07-19,21.02,Birla
2007-07-18,20.9,Birla
2007-07-17,20.82,Birla
2007-07-16,20.76,Birla
2007-07-13,20.6,Birla
2007-07-12,20.54,Birla
2007-07-11,20.3,Birla
2007-07-10,20.27,Birla
2007-07-09,20.3,Birla
2007-07-06,20.13,Birla
2007-07-05,20.01,Birla
2007-07-04,20.02,Birla
2007-07-03,20.05,Birla
2007-07-02,19.92,Birla
2007-06-29,19.84,Birla
2007-06-28,19.66,Birla
2007-06-27,19.66,Birla
2007-06-26,19.74,Birla
2007-06-25,19.57,Birla
2007-06-22,19.52,Birla
2007-06-21,19.46,Birla
2007-06-20,19.39,Birla
2007-06-19,19.29,Birla
2007-06-18,19.14,Birla
2007-06-15,19.23,Birla
2007-06-14,19.17,Birla
2007-06-13,19.05,Birla
2007-06-12,19.12,Birla
2007-06-11,19.14,Birla
2007-06-08,19.14,Birla
2007-06-07,19.32,Birla
2007-06-06,19.41,Birla
2007-06-05,19.67,Birla
2007-06-04,19.65,Birla
2007-06-01,19.67,Birla
2007-05-31,19.7,Birla
2007-05-30,19.58,Birla
2007-05-29,19.64,Birla
2007-05-28,19.53,Birla
2007-05-25,19.38,Birla
2007-05-24,19.39,Birla
2007-05-23,19.48,Birla
2007-05-22,19.54,Birla
2007-05-21,19.48,Birla
2007-05-18,19.16,Birla
2007-05-17,19.11,Birla
2007-05-16,18.89,Birla
2007-05-15,18.75,Birla
2007-05-14,18.75,Birla
2007-05-11,18.67,Birla
2007-05-10,18.69,Birla
2007-05-09,18.72,Birla
2007-05-08,18.67,Birla
2007-05-07,18.82,Birla
2007-05-04,18.81,Birla
2007-05-03,18.87,Birla
2007-04-30,18.72,Birla
2007-04-27,18.72,Birla
2007-04-26,18.87,Birla
2007-04-25,18.86,Birla
2007-04-24,18.74,Birla
2007-04-23,18.57,Birla
2007-04-20,18.6,Birla
2007-04-19,18.55,Birla
2007-04-18,18.45,Birla
2007-04-17,18.4,Birla
2007-04-16,18.44,Birla
2007-04-13,18.25,Birla
2007-04-12,18.14,Birla
2007-04-11,18.24,Birla
2007-04-10,18.2,Birla
2007-04-09,18.18,Birla
2007-04-05,17.98,Birla
2007-04-04,17.94,Birla
2007-04-03,17.84,Birla
2007-04-02,17.71,Birla
2007-03-30,18.17,Birla
2007-03-29,18.07,Birla
2007-03-28,17.94,Birla
2007-03-26,18.08,Birla
2007-03-23,18.15,Birla
2007-03-22,18.13,Birla
2007-03-21,17.81,Birla
2007-03-20,17.64,Birla
2007-03-19,17.52,Birla
2007-03-16,17.4,Birla
2007-03-15,17.5,Birla
2007-03-14,17.49,Birla
2007-03-13,17.77,Birla
2007-03-12,17.75,Birla
2007-03-09,17.73,Birla
2007-03-08,17.81,Birla
2007-03-07,17.52,Birla
2007-03-06,17.59,Birla
2007-03-05,17.48,Birla
2007-03-02,17.9,Birla
2007-03-01,18.08,Birla
2007-02-28,18.05,Birla
2007-02-27,18.32,Birla
2007-02-26,18.46,Birla
2007-02-23,18.44,Birla
2007-02-22,18.74,Birla
2007-02-21,18.87,Birla
2007-02-20,18.83,Birla
2007-02-19,18.95,Birla
2007-02-15,19.0,Birla
2007-02-14,18.66,Birla
2007-02-13,18.74,Birla
2007-02-12,18.82,Birla
2007-02-09,19.1,Birla
2007-02-08,19.2,Birla
2007-02-07,19.3,Birla
2007-02-06,19.18,Birla
2007-02-05,19.18,Birla
2007-02-02,19.03,Birla
2007-02-01,18.86,Birla
2007-01-31,18.73,Birla
2007-01-29,18.79,Birla
2007-01-25,18.83,Birla
2007-01-24,18.75,Birla
2007-01-23,18.67,Birla
2007-01-22,18.78,Birla
2007-01-19,18.86,Birla
2007-01-18,18.96,Birla
2007-01-17,18.9,Birla
2007-01-16,18.8,Birla
2007-01-15,18.79,Birla
2007-01-12,18.75,Birla
2007-01-11,18.51,Birla
2007-01-10,18.31,Birla
2007-01-09,18.44,Birla
2007-01-08,18.56,Birla
2007-01-05,18.67,Birla
2007-01-04,18.73,Birla
2007-01-03,18.81,Birla
2007-01-02,18.76,Birla
2006-12-29,18.59,Birla
2006-12-28,18.6,Birla
2006-12-27,18.61,Birla
2006-12-26,18.53,Birla
2006-12-22,18.43,Birla
2006-12-21,18.32,Birla
2006-12-20,18.26,Birla
2006-12-19,18.29,Birla
2006-12-18,18.5,Birla
2006-12-15,18.4,Birla
2006-12-14,18.25,Birla
2006-12-13,17.99,Birla
2006-12-12,17.89,Birla
2006-12-11,18.37,Birla
2006-12-08,18.76,Birla
2006-12-07,18.87,Birla
2006-12-06,18.91,Birla
2006-12-05,18.91,Birla
2006-12-04,18.93,Birla
2006-12-01,18.85,Birla
2006-11-30,18.67,Birla
2006-11-29,18.62,Birla
2006-11-28,18.55,Birla
2006-11-27,18.66,Birla
2006-11-24,18.61,Birla
2006-11-23,18.58,Birla
2006-11-22,18.56,Birla
2006-11-21,18.42,Birla
2006-11-20,18.24,Birla
2006-11-17,18.27,Birla
2006-11-16,18.34,Birla
2006-11-15,18.42,Birla
2006-11-14,18.4,Birla
2006-11-13,18.47,Birla
2006-11-12,18.37,Birla
2006-11-10,18.33,Birla
2006-11-09,18.28,Birla
2006-11-08,18.12,Birla
2006-11-07,18.25,Birla
2006-11-06,18.27,Birla
2006-11-03,18.25,Birla
2006-11-02,18.23,Birla
2006-11-01,18.21,Birla
2006-10-31,18.07,Birla
2006-10-30,18.09,Birla
2006-10-27,17.96,Birla
2006-10-26,17.71,Birla
2006-10-23,17.44,Birla
2006-10-20,17.43,Birla
2006-10-19,17.35,Birla
2006-10-18,17.47,Birla
2006-10-17,17.46,Birla
2006-10-16,17.44,Birla
2006-10-13,17.39,Birla
2006-10-12,17.4,Birla
2006-10-11,17.26,Birla
